PC1,PC2
49.3201,-4.0227
31.668,-13.6178
24.3715,-9.78519
76.1575,14.049
76.1575,14.049
13.3043,-9.36929
94.9644,3.58717
60.4507,-12.6366
13.3043,-9.36929
11.3333,-9.76324
20.0796,-9.98396
18.5794,-8.68761
20.7781,-9.14647
13.684,-10.0262
23.0844,-6.31166
30.933,-9.5695
13.307,-9.42607
13.307,-9.42607
59.5656,-10.2183
43.042,-9.98527
97.5822,2.49499
82.2696,-4.58569
42.0258,-7.45402
97.5822,2.49499
78.5375,-16.2306
11.3631,-9.87037
11.3299,-9.62406
11.3299,-9.62406
274.741,58.832
11.4409,-10.1669
285.062,62.5538
77.0051,-4.98593
67.5192,-11.3021
77.0051,-4.98593
73.9147,-12.6874
12.2826,-9.38783
36.0478,-11.209
47.7393,-10.8649
47.7393,-10.8649
84.5479,-13.0157
22.901,-8.60581
20.5765,-10.6168
35.2639,-7.34773
21.2116,-9.47088
23.3162,-7.1376
21.2116,-9.47088
20.8699,-6.1824
19.3892,-8.26731
20.8699,-6.1824
43.3544,-13.2677
30.2876,-10.5822
35.8541,-10.5146
30.2876,-10.5822
30.9883,-12.3272
52.5114,-1.78939
21.4625,-10.4764
28.3442,-8.84329
15.9248,-7.29309
72.6999,-5.87172
17.4537,-8.36646
60.8525,-5.66405
37.2611,-1.63147
12.8361,-7.75994
86.2476,-1.80031
26.6934,-12.1114
26.6934,-12.1114
26.6934,-12.1114
29.4961,-11.4508
18.8406,-9.23104
21.2812,-10.1909
35.0562,-13.9101
41.4214,-15.9412
35.1449,-12.04
15.7107,-6.94518
31.9093,-9.38363
14.0084,-8.26921
58.9103,-8.63358
94.3862,1.92914
75.5603,-2.42874
13.5774,-9.64399
145.303,0.720364
43.8541,-9.57442
22.5631,-10.2314
18.6854,-9.07321
56.0813,-7.45676
16.9777,-10.3399
16.9777,-10.3399
98.9851,4.35693
87.8275,9.73088
86.0319,-3.26739
76.2822,-1.34427
15.6578,-9.30863
25.8404,-12.3917
78.2699,-7.97946
59.4523,-12.3762
23.9554,-5.74877
18.0828,-10.4793
25.0847,-8.64839
15.1383,-11.153
15.4467,-9.30199
73.0293,3.55511
40.8319,-2.15852
43.463,-8.53769
76.1218,-20.4707
40.8319,-2.15852
98.3861,-9.65665
102.046,14.2812
59.5512,-5.05524
40.8275,-5.07771
23.5321,-7.91465
25.8307,-10.1914
24.1777,-11.6477
25.2665,-8.92078
25.2665,-8.92078
42.5086,-5.88664
61.1249,5.77041
56.34,-13.0925
46.3076,0.0512226
17.3389,-8.31329
